Das kompositorische Werk Emanuel Vogts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
ID,Datum,Titel,Genre/Dokument,Besetzung,"Original, Kopie",Bemerkung
480,1998,Freut euch ihr Christen…,Chorsatz,gem. Chor,Kopie,
481,1997,Unser Vater,Chorsatz,Frauen,Original,Liedblatt von Frau M. Raffegerst am 28.01.1997 überreicht
482,1997,"Psalm 25, 4 und 5, Herr, Herr, Herr…",Chorsatz,Frauen?,Original,…für Angelika Schreiber von Emanuel Vogt zum 06.04.1997 mit allen guten Wünschen
483,1998,Freut euch ihr Christen…,Chorsatz,gem. Chor,Kopie,
484,1980,Wochenspruch zu Ostern,Chorsatz,gem. Chor,Kopie,
485,1993,"Vorspiel zu ""Wie lieblich ist der Maien""",Orgelsatz,Orgel,Kopie,
486,1975,Allemande,Orgelsatz,Orgel,Kopie,
487,,Zur stillen Nacht…,Chorsatz,gem. Chor,Original,Bleistift-Manuskript
488,1986,"Schadrdach, Meschach, Abed-nego",Chorsatz,Chor - einstimmig,Kopie,
489,1991,Himmelsau,Klaviersatz,Piano,Original,
490,1991,Ihr Kinderlein kommet,Klaviersatz,Piano,Original,
491,1991,Himmelsau,Klaviersatz,Piano,Original,
492,1991,"Lobe den Herren alle, die ihn ehren",Klaviersatz,Piano,Original,
493,1991,Der Mond ist aufgegangen,Klaviersatz,Piano,Original,
494,1991,"Lobe den Herren, den mächtigen König…",Klaviersatz,Piano,Original,
495,1991,Die Gedanken sind frei,Klaviersatz,Piano,Original,
495a,1991,"Guten Abend, gute Nacht",Klaviersatz,Piano,Original,
496,1991,Nun will der Lenz uns grüßen,Klaviersatz,Piano,Original,
497,1988,Wenn wir essen…,Liedsatz,Chor - einstimmig,Original,
498,1984,Umstellt von Fragen,Chorsatz,Frauen,Original,
499,1984,Grillenmadam…,Chorsatz,gem. Chor + Begleitinstrumente,Original,
500,1978,Psalm 84,Tonsatz,"Gemeinde, Bläser, Orgel?",Original,Meiner Enkeltochter Anna Marieke in Suderburg gewidmet
501,1989,Christus ist geboren (aus Polen),Tonsatz,"Blockflöte, Singstimme, Metallophon",Original,
502,1981,"Mai, Juni, Juli",Chorsatz,gem. Chor,Original,
503,1976,Einleitung: Trompetenduett,Tonsatz,div.,Kopie,zu: Geh aus mein Herz…
504,1984,Was soll das bedeuten,Bläsersatz,Bläser,Original,Sätze für den Jungbläser-Chor 1984
505,1984,"Vom Himmel hoch, da komm ich her…",Bläsersatz,Bläser,Original,Sätze für den Jungbläser-Chor 1984
506,1984,Ihr Kinderlein kommet,Bläsersatz,Bläser,Original,Sätze für den Jungbläser-Chor 1984
507,1984,Kommet ihr Hirten…,Bläsersatz,Bläser,Original,Sätze für den Jungbläser-Chor 1984
508,,Seite 1 fehlt…,Tonsatz,?,Original,
509,1995,"EG 19 - O komm, o komm",Tonsatz,"Singstimme, Gitarre",Original,Lautensatz: HGM
510,1977,"So gehst du nun, mein Jesu, hin",Chorsatz,gem. Chor,Original,Für den Windsbacher Kirchenchor gesetzt
511,1977,"Herr Christ, hilf uns",Chorsatz,gem. Chor,Original,Für den Windsbacher Kirchenchor gesetzt
512,,Kanons zur Weihnacht,Tonsatz,Chor,Original,
513,,Suite für Cembalo oder Klavier,Tonsatz,"Cembalo, Klavier",Kopie,
